demulcent,dəˈməlsənt
embolus,ˈɛmbələs
cabochon,ˈkæbəˌʃɑn
syzygy,ˈsɪzɪdʒi
goosander,ɡuˈsændər
Beethovenian,ˌbeɪˌtoʊˈviniən
kwashiorkor,ˌkwɑʃiˈɔrkər
farina,fəˈrinə
zydeco,ˈzaɪdəˌkoʊ
kibitzer,ˈkɪbətsər
lecithin,ˈlɛsəθən
heuristic,hjʊˈrɪstɪk
consanguine,kɑnˈsæŋɡwən
cetology,səˈtɑlədʒi
nudibranch,ˈnudəˌbræŋk
bibimbap,ˈbibɪmˌbɑp
auteur,oʊˈtər
plenipotentiary,ˌplɛnəpəˈtɛn(t)ʃəri
triquetra,traɪˈkwitrə
labefaction,ˌlæbəˈfækʃən
demitasse,ˈdɛmitɑs
sesquipedalian,ˌsɛskwəpəˈdeɪljən
tomalley,təˈmɑli
kaffeeklatsch,ˈkæfeɪˌklætʃ
estival,ˈɛstəvəl
bouffant,ˌbuˈfɑnt
peregrination,ˌpɛrəɡrəˈneɪʃ(ə)n
profligacy,ˈprɑfləɡəsi
tomography,toʊˈmɑɡrəfi
bas-relief,bæsrəˈlif
paraquat,ˈpɛrəˌkwɑt
effleurage,ˌɛfləˈrɑʒ
rhizome,ˈraɪˌzoʊm
prana,ˈprɑnə
empennage,ˌɑmpəˈnɑʒ
Wensleydale,ˈwɛnzliˌdeɪl
sinciput,ˈsɪnsəpət
lysozyme,ˈlaɪzəˌzaɪm
bergere,bɛrˈʒɛr
abattoir,ˈæbəˌtwɑr
thaumaturge,ˈθɔməˌtərdʒ
rhyton,ˈraɪˌtɑn
rembrandt,ˈrɛmˌbrænt
diktat,dɪkˈtɑt
etouffee,ˌeɪtuˈfeɪ
orogeny,ɔˈrɑdʒ(ə)ni
bonspiel,ˈbɑnˌspil
fouette,fuəˈteɪ
degauss,diˈɡaʊs
hackamore,ˈhækəˌmɔr
Machiavellian,ˌmɑkiəˈvɛliən
tussock,ˈtəsək
esplanade,ˌɛspləˈnɑd
blancmange,bləˈmɑn(d)ʒ
badinage,ˌbædnˈɑʒ
gesellschaft,ɡəˈzɛlˌʃɑft
simulacrum,ˌsɪmjəˈleɪkrəm
saccadic,sa-
linnet,ˈlɪnət
tamari,təˈmɑri
cnidarian,naɪˈdɛriən
rheostat,ˈriəˌstæt
mignonette,ˌmɪnjəˈnɛt
embouchure,ˌɑmbuˈʃʊr
arenaceous,ˌɑrəˈneɪʃəs
