Ad,Add,Yes
Ail,Ale,Yes
Air,Heir,Yes
All,Awl,Yes
Allowed,Aloud,Yes
Alms,Arms,Yes
Altar,Alter,Yes
Ant,Aunt,Yes
Arc,Ark,Yes
Ate,Eight,Yes
Auger,Augur,Yes
Aural,Oral,Yes
Baize,Bays,Yes
Bald,Bawled,Yes
Ball,Bawl,Yes
Band,Banned,Yes
Bard,Barred,Yes
Bare,Bear,Yes
Baron,Barren,Yes
Be,Bee,Yes
Beach,Beech,Yes
Bean,Been,Yes
Beer,Bier,Yes
Berry,Bury,Yes
Berth,Birth,Yes
Billed,Build,Yes
Blue,Blew,Yes
Bored,Board,Yes
Braid,Brayed,Yes
Break,Brake,Yes
Brews,Bruise,Yes
Bridal,Bridle,Yes
Broach,Brooch,Yes
Buy,By,Yes
Bye, Buy,Yes
Capital,Capitol,Yes
Cellar,Seller,Yes
Census,Sense,Yes
Cereal,Serial,Yes
Chili,Chilly,Yes
Choral,Coral,Yes
Cite,Sight,Yes
Site, Cite,Yes
Coarse,Course,Yes
Complement,Compliment,Yes
Council,Counsel,Yes
Deer,Dear,Yes
Die,Dye,Yes
Discreet,Discrete,Yes
Doe,Dough,Yes
Done,Dun,Yes
Draft,Draught,Yes
Dual,Duel,Yes
Earn,Urn,Yes
Ewe,You,Yes
Farther,Father,Yes
Faze,Phase,Yes
File,Phial,Yes
Find,Fined,Yes
Fir,Fur,Yes
Flaw,Floor,Yes
Flea,Flee,Yes
Flew,Flu,Yes
Flex,Flecks,Yes
Flour,Flower,Yes
For,Four,Yes
Foreword,Forward,Yes
Fort,Fought,Yes
Foul,Fowl,Yes
Gait,Gate,Yes
Gamble,Gambol,Yes
Genes,Jeans,Yes
Gored,Gourd,Yes
Great,Grate,Yes
Groan,Grown,Yes
Hart,Heart,Yes
Hear,Here,Yes
Heel,Heal,Yes
Hi,High,Yes
Him,Hymn,Yes
Hoard,Horde,Yes
Hole,Whole,Yes
Holy,Wholly,Yes
Hour,Our,Yes
I,Eye,Yes
Idle,Idol,Yes
Incite,Insight,Yes
Knead,Need,Yes
Knew,New,Yes
Knight,Night,Yes
Knot,Not,Yes
Know,No,Yes
Leak,Leek,Yes
Lessen,Lesson,Yes
Levee,Levy,Yes
Links,Lynx,Yes
Loan,Lone,Yes
Loot,Lute,Yes
Made,Maid,Yes
Mail,Male,Yes
Main,Mane,Yes
Manna,Manner,Yes
Marshal,Martial,Yes
Mask,Masque,Yes
Maw,More,Yes
Medal,Meddle,Yes
Meet,Meat,Yes
Might,Mite,Yes
Mist,Missed,Yes
Moose,Mousse,Yes
Muscle,Mussel,Yes
None,Nun,Yes
Oar,Or,Yes
Overdo,Overdue,Yes
Pail,Pale,Yes
Pain,Pane,Yes
Pair,Pear,Yes
Passed,Past,Yes
Peace,Piece,Yes
Peak,Peek,Yes
Pedal,Peddle,Yes
Plane,Plain,Yes
Principal,Principle,Yes
Profit,Prophet,Yes
Rain,Reign,Yes
Red,Read,Yes
Right,Write,Yes
Ring,Wring,Yes
Rode,Road,Yes
Role,Roll,Yes
Rouse,Rows,Yes
Rung,Wrung,Yes
Sail,Sale,Yes
Sauce,Source,Yes
Scene,Seen,Yes
Scull,Skull,Yes
See,Sea,Yes
Shoe,Shoo,Yes
Side,Sighed,Yes
Slay,Sleigh,Yes
Soar,Sore,Yes
Sole,Soul,Yes
Some,Sum,Yes
Sort,Sought,Yes
Staid,Stayed,Yes
Stalk,Stork,Yes
Stare,Stair,Yes
Stationary,Stationery,Yes
Steal,Steel,Yes
Stile,Style,Yes
Sun,Son,Yes
Tail,Tale,Yes
Team,Teem,Yes
Than,Then,Yes
Their,There,Yes
Throne,Thrown,Yes
Tide,Tied,Yes
To,Two,Yes
Too,Two,Yes
Toe,Tow,Yes
Vain,Vein,Yes
Vary,Very,Yes
Wail,Whale,Yes
Waste,Waist,Yes
Way,Weigh,Yes
Weak,Week,Yes
Weather,Whether,Yes
Where,Wear,Yes
Which,Witch,Yes
Won,One,Yes
Would,Wood
Ad,Pair,No
Ail,Know,No
Air,Bard,No
All,Plane,No
Allowed,Hear,No
Alms,Throne,No
Altar,Allowed,No
Ant,Choral,No
Arc,Break,No
Ate,Way,No
Auger,Manna,No
Aural,Staid,No
Baize,Hour,No
Bald,Loot,No
Ball,Oar,No
Band,Cereal,No
Bard,Alms,No
Bare,Cite,No
Baron,Hi,No
Be,File,No
Beach,Medal,No
Bean,Alms,No
Beer,Throne,No
Berry,Soar,No
Berth,Hoard,No
Billed,Capital,No
Blue,Pair,No
Bored,Blue,No
Braid,See,No
Break,Baron,No
Brews,File,No
Bridal,Dual,No
Broach,Made,No
Buy,Ad,No
Capital,Loan,No
Cellar,Faze,No
Census,Slay,No
Cereal,Pair,No
Chili,Berry,No
Choral,Capital,No
Cite,Ail,No
Coarse,Sole,No
Complement,Air,No
Council,Vain,No
Deer,Deer,No
Die,Some,No
Discreet,Oar,No
Doe,Braid,No
Done,Bald,No
Draft,Holy,No
Dual,Draft,No
Earn,Idle,No
Ewe,Cite,No
Farther,Principal,No
Faze,Which,No
File,Hi,No
Find,Rouse,No
Fir,Gait,No
Flaw,Holy,No
Flea,Be,No
Flew,To,No
Flex,Fir,No
Flour,Pain,No
For,Medal,No
Foreword,Hi,No
Fort,nan,No
Foul,Coarse,No
Gait,Mist,No
Gamble,Levee,No
Genes,Berth,No
Gored,See,No
Great,Way,No
Groan,Leak,No
Hart,Role,No
Hear,Vary,No
Heel,would,No
Hi,Bare,No
Him,Faze,No
Hoard,Scene,No
Hole,Staid,No
Hour,Vary,No
I,Sauce,No
Idle,Farther,No
Incite,Main,No
Knead,Sail,No
Knew,Pain,No
Knight,Sort,No
Knot,Soar,No
Know,Census,No
Leak,Sun,No
Lessen,Incite,No
Levee,Fir,No
Links,Aural,No
Loan,Pair,No
Loot,Moose,No
Made,Him,No
Mail,Shoe,No
Main,Muscle,No
Manna,Foreword,No
Marshal,Cereal,No
Mask,Knead,No
Maw,Holy,No
Medal,Some,No
Meet,Main,No
Might,Hoard,No
Mist,Alms,No
Moose,Draft,No
Muscle,Weather,No
nan,Stalk,No
Oar,Pail,No
Overdo,Deer,No
Pail,Beer,No
Pain,Earn,No
Pair,Bard,No
Passed,Earn,No
Peace,Would,No
Peak,Faze,No
Pedal,Council,No
Plane,Throne,No
Principal,Earn,No
Profit,Heel,No
Rain,Passed,No
Red,Loot,No
Right,Chili,No
Ring,File,No
Rode,Council,No
Role,Sail,No
Rouse,Which,No
Rung,Ewe,No
Sail,Fort,No
Sauce,Vain,No
Scene,Hoard,No
Scull,Levee,No
See,Complement,No
Shoe,Foul,No
Side,Links,No
Slay,Buy,No
Soar,Team,No
Sole,Census,No
Some,Passed,No
Sort,Mask,No
Staid,Holy,No
Stalk,Main,No
Stare,Auger,No
Stationary,Him,No
Steal,Pain,No
Stile,Braid,No
Sun,Peak,No
Tail,See,No
Team,Band,No
Than,Steal,No
Their,Plane,No
Throne,Knight,No
Tide,Cereal,No
To,Throne,No
Too,Broach,No
Toe,Side,No
Vain,Braid,No
Vary,Scull,No
Wail,Moose,No
Waste,Farther,No
Way,Loot,No
Weak,Pair,No
Weather,Weak,No
Where,Ewe,No
Which,Dual,No
Won,Profit,No
Would,Stare,No
would,Weather
